Model,CV MAE,CV RMSE,CV MAPE (%),CV WAPE (%),Test MAE,Test RMSE,Test MAPE (%),Test WAPE (%),Train Time (s),Beats Naive,Beats Seasonal Naive
Naive Baseline,5366.34,6751.16,64.03,49.61,7187.28,9134.8,63.05,51.56,0.0,Baseline,Baseline
Seasonal Naive Baseline,5342.45,6864.83,55.8,49.14,7075.47,9172.35,61.5,50.76,0.0,Baseline,Baseline
Ridge Regression,5130.83,6554.35,50.11,48.6,5377.97,6778.95,56.84,38.58,0.0029,YES,YES
Random Forest,5196.86,6602.18,50.96,47.12,5600.2,7289.91,46.25,40.18,0.1059,YES,YES
HistGradientBoosting,5151.23,6778.72,49.08,46.52,5926.8,7601.07,49.76,42.52,0.1102,YES,YES
Gradient Boosting,5733.63,7370.19,57.91,53.07,5493.08,7125.67,47.31,39.41,0.0654,YES,YES
